vin,craigslist_id,used_cars_id,year,manufacturer_cr,manufacturer_uc,model_cr,model_uc,price_cr,price_uc,mileage_cr,mileage_uc,warnings,warning_details,label
1GYKNBRS7HZ298333,7315722689,278722169,2017.0,Cadillac,Cadillac,Xt5,Xt5,31000,28573.0,25639.0,12779.0,1,"Mileage molto diverso: CR=25,639, UC=12,779 (diff: 12,860, 50.2%)",1
KM8J23A44KU880032,7306138956,275462271,2019.0,Hyundai,Hyundai,Tucson,Tucson,16990,16495.0,36000.0,36635.0,0,,1
,7311354104,276616531,,Ram,Lincoln,1500 Big Horn,Mkz,18499,21995.0,128290.0,35205.0,,,0
,7302529550,275217483,,Lincoln,Porsche,Navigator,Cayenne,15995,106080.0,91752.0,12.0,,,0
SALLDHAB7FA361491,7315701268,279435236,1989.0,Rover,Land Rover,Defender,Defender,21900,30000.0,153522.0,153522.0,0,,1
,7308952232,281130975,,Jeep,Toyota,Patriot,Rav4,11899,21995.0,34926.0,40430.0,,,0
,7302279572,281403416,,Hyundai,Chrysler,Sonata Limited 2.0T *Ltd,Pacifica Hybrid,0,43630.0,14248.0,2.0,,,0
,7316680855,274602889,,Subaru,Ram,Wrx Limited Sedan 4D,1500,28990,40578.0,20826.0,30.0,,,0
,7316903270,280898098,,Ford,Toyota,Econoline Cargo Van,Corolla,10799,17000.0,,37607.0,,,0
4S3GKAA62J3622942,7314554826,277250418,2018.0,Subaru,Subaru,Impreza Awd,Impreza,13450,13950.0,42000.0,42000.0,0,,1
,7313580152,280835151,,Chevrolet,Ford,Equinox,F-150,0,25995.0,35978.0,131669.0,,,0
,7316834558,281428290,,Toyota,Gmc,Camry,Terrain,9988,21500.0,119925.0,35818.0,,,0
3FA6P0LUXKR222526,7306844788,275933615,2019.0,Ford,Ford,Fusion Hybrid,Fusion Hybrid,0,17443.0,28856.0,28855.0,0,,1
,7316032722,279186180,,Ford,Nissan,F-150,Sentra,18988,10800.0,164635.0,75855.0,,,0
5TFEV58138X068071,7314990612,280345923,2008.0,Toyota,Toyota,Tundra,Tundra,13995,15995.0,207521.0,198842.0,0,,1
,7315868493,275631741,,Toyota,Nissan,Yaris L Sedan 4D,Versa,16990,9399.0,31319.0,45792.0,,,0
,7311307086,272160732,,Chevrolet,Land Rover,Express Cargo,Range Rover,29999,49990.0,11704.0,65000.0,,,0
,7314420322,277663864,,Dodge,Subaru,Journey,Legacy,0,4900.0,80588.0,136108.0,,,0
,7316122546,277726491,,Honda,Toyota,Pilot Ex-L 2Wd,Camry,0,21498.0,83425.0,34605.0,,,0
,7312258731,279589272,,Ford,Ford,F-350,F-150,0,41785.0,220350.0,49952.0,,,0
,7316824711,277151231,,Chevrolet,Subaru,Silverado,Forester,33500,20988.0,18749.0,25852.0,,,0
,7315417204,273700330,,Ford,Ram,Edge,1500,9999,68888.0,153755.0,0.0,,,0
1C6SRFFT1LN125591,7305233584,275164877,2020.0,Ram,Ram,1500 Big Horn,1500,40000,39997.0,15800.0,10897.0,0,,1
,7311066262,255603638,,Jeep,Nissan,Grand Cherokee Laredo,Altima,5950,12488.0,128000.0,55293.0,,,0
,7306108536,273479280,,Honda,Chevrolet,Civic Sedan,Malibu,16442,19995.0,24575.0,43262.0,,,0
,7316892548,275361115,,Toyota,Hyundai,Rav4 Awd,Tucson,3995,22597.0,130000.0,28023.0,,,0
,7316310339,279569666,,Bmw,Toyota,X3,Corolla,13000,6450.0,110349.0,175759.0,,,0
,7308223070,281282722,,Honda,Toyota,Accord,Prius,6500,30697.0,146844.0,11.0,,,0
,7315237393,277504831,,Cadillac,Toyota,Srx~Awesome Colors~ Navigation~ Camera~ Factory Ch,Rav4,14997,22945.0,105487.0,31852.0,,,0
,7302027178,281245706,,Subaru,Nissan,Legacy 2.5I,Versa,5990,16637.0,116444.0,10.0,,,0
,7311439391,257320197,,Dodge,Jeep,Caliber Sxt,Cherokee,6300,29352.0,57764.0,0.0,,,0
3N1CE2CP0FL405034,7315717877,277107148,2015.0,Nissan,Nissan,Versa Note,Versa Note,8995,8995.0,93690.0,93690.0,0,,1
,7311670134,277827829,,Hyundai,Chevrolet,Sonata,Sonic,13988,7495.0,66451.0,87550.0,,,0
1G1FW6S01H4165514,7307953898,279662886,2017.0,Chevrolet,Chevrolet,Bolt Ev Lt,Bolt Ev,14895,18767.0,21893.0,21888.0,0,,1
